feature,mean_abs_shap
overall,2297608.5869727326
potential,558138.5846219198
age,204247.78934634346
wage,98446.44096417635
defending,78686.5383287121
shooting,55827.82042079064
dribbling,53077.11113834069
pace,22185.58191878135
physic,19764.07573230097
passing,18718.888845059744
